state (Emission order)	H3K27ac	H4K5ac	H3K18ac	H2BK5ac	H4K91ac	H2BK12ac	H2BK15ac	H2AK5ac	H2BK20ac	H2BK120ac	H3K4ac	H3K14ac	H3K23ac	H3K56ac	H3K23me2	H4K20me1	H3K79me2	H3K79me1	H3K36me3	H3K9me3	H3K27me3	DNase	H2A.Z	H4K8ac	H3K9ac	H3K4me3	H3K4me2	H3K4me1
1	0.9714321763746203	0.8696628956608021	0.5933062716494032	0.5797702012189473	0.24328024097865772	0.0908196493447799	0.01378961053758394	0.009153465270674423	0.0038099496659985714	0.023751430370316757	0.06325564526732938	0.12934287239263986	0.020721428829769992	0.4063914288975072	0.234452835174773	0.00358111084297319	0.06709094850801799	0.05987782361481329	0.0026359113278253193	0.0010782130430364635	0.008440566989317359	0.8509278900728302	0.4382719029924289	0.7070705657366717	0.9791653993945671	0.9998787401055538	0.9774423721526838	0.025644458178309845
2	0.3978634528223151	0.0892352507700317	0.0124312621699928	0.01832206787173858	3.940047686003643E-4	1.276798416868175E-4	3.9754386997611724E-190	1.3602626138447038E-141	5.510724166736344E-116	9.63983638791488E-92	2.8992640332796506E-14	2.774826728984453E-4	2.0051484683382026E-93	0.0037293351329182388	0.00448330845326997	5.429747402877468E-101	0.0026093748940884715	0.00243275654493567	6.590301295176532E-4	0.0020100489519958155	6.520513837670622E-4	0.8644199525005468	0.1053142472524336	0.1977965633899615	0.42705500566746124	0.9701890827481646	0.6660882382066095	4.076046069067608E-64
3	0.014529886249263829	0.03008263916998335	0.006937708382968589	0.004133475005803359	0.006331151268904406	0.007571540595756973	0.007240835091220257	0.006977221307556497	0.0024412188919827383	0.0038901592177175343	0.0067550619238484055	0.0030460938812170006	0.0032340538739625145	0.002930127402379038	0.020103260334632396	0.004731059330124704	0.0069903581778525785	0.016536272860980552	0.001741013877714307	0.010693871477254622	0.030778386824919148	0.14261058895647824	0.020230765335534927	0.03629398626206513	0.032431428014404025	0.4473224275121807	0.8061023893273143	0.11033138121243795
4	0.7590192392171478	0.8886113035888951	0.8527826067293021	0.7243199790566266	0.7782942333376184	0.6695552075384517	0.3911531604002382	0.24718979518903766	0.2915942865679864	0.32341671822313556	0.4036982943798573	0.3729635267896665	0.180883454218373	0.32738665030570013	0.7339221726995483	0.035419721856749325	0.059136960521442045	0.13125558871774912	0.005066419554308746	0.010776769425799668	0.24252047824605336	0.712469840534916	0.3402422062586369	0.5585998356468401	0.7960072898114393	0.9901824974026998	0.999959390415122	0.7308167298601995
5	0.9869122333968693	0.9956191222440229	0.9509901449313704	0.9662810675990673	0.9039396876930941	0.6227462960672991	0.27511762830447717	0.368535717480995	0.14145816517309298	0.36137682479455446	0.6210310086861732	0.6459322437731922	0.30872481685770875	0.8920567498654677	0.5903999427961796	0.06648250724897138	0.29018159461759796	0.2717076775552874	0.026300995374669407	0.0018719389908694397	0.020501117975229802	0.7673081498441462	0.4025387226514831	0.7832327679221632	0.9988619980883346	0.9997516495832454	0.9996867571784912	0.1883060988916842
6	0.32084630881748644	0.3465241292871407	0.18212839087151672	0.22111593972732718	0.1626833768559597	0.09304384648254675	0.05007112631536154	0.14918682445682774	0.01475975491461138	0.0424841627157566	0.15217990515788624	0.1758888980594812	0.14731465099772262	0.19712931010309334	0.6386703940665788	0.35054267642085485	0.7328702056128987	0.5427124568625457	0.10991826099572886	0.002917001043985719	0.04069736964376009	0.14720037649903803	0.05358152290184669	0.2108920345898261	0.9134867410245778	0.9976265302276414	0.9994631863271642	0.39310084113226396
7	0.32912656150534814	0.29931067361034974	0.1982085928265737	0.08428331297690701	0.07661400880897722	0.06355022706573298	0.025140512294860976	0.015450500205491142	0.009865961740976656	0.021452529103469654	0.04057111180724797	0.04803905342686841	0.023243798095415123	0.05655537974409822	0.4328073098699376	0.007993860263600716	0.007673407150966576	0.053890773840267955	0.0031984843328086974	0.006632668686050308	0.05277987886477276	0.5006314464689628	0.23523284638380607	0.24966900519892646	0.6052388877867964	0.9965146060102186	0.9996159503496929	0.2553810302865396
8	0.06052356858440491	0.060338208646011214	0.00640125245485182	0.01113236183581163	0.005143687241982289	0.005570336318600885	0.004040929504050823	0.013892388322983125	0.0016903534888425295	0.0038975694724511073	0.008632208587247345	0.007735761105692982	0.018583896414730072	0.009444196788979604	0.06279519178572532	0.18172147934936447	0.5402533525497099	0.2349574406811546	0.13766973772750948	0.0025311978588006766	0.008522009208304808	0.020167438051358337	7.229206682167241E-4	0.03199897900771718	0.24895374669149942	0.6185021708637037	0.9406228822554651	0.3165156143898632
9	6.176976865532173E-4	2.653192912507473E-4	8.752661882948649E-6	0.0035118078104015454	1.9757848592548516E-4	9.569639637388825E-5	9.675547009281819E-5	2.1288357030765304E-5	3.117154268013738E-4	2.988192010621124E-4	5.228197253949792E-4	5.920248121400734E-4	0.0017590360200346869	0.002170115016972857	0.0021052133691188478	0.05220673493093671	0.006330962374044858	0.021957135419250887	0.7584639902373846	0.001601734662640357	1.8588646222913115E-4	0.0019699485925320265	8.919690383987656E-4	0.014540833602292127	0.001601726383089176	2.157016194050263E-6	2.919500728175063E-11	1.4932239550011366E-4
10	7.419422755971082E-4	6.988143354579876E-4	1.5111944054858943E-4	0.0034999991587352968	5.082495434861174E-4	6.192669879512303E-4	3.998180515711067E-4	6.303698968702396E-4	3.271436388082559E-4	4.5513758118158863E-4	8.907379831853236E-4	0.001538173696198748	0.002882266159798736	0.002451504831490915	0.001937425440491692	0.011028480337545579	0.0022418240239980374	0.007807348633758122	0.12135058777619509	8.932349570262019E-4	1.0911768941524972E-4	0.0021688698153141863	6.114581059917188E-4	0.006588082075102905	0.0015361721848155523	1.2689192914268403E-62	1.3050839835662966E-4	8.51463160453434E-4
